id,kill_death_ratio,average_damage,match_counts,is_party,rank_id
2,1.54,720.12,208,1,16
3,1.54,720.12,208,1,16
4,1.52,682.4,348,1,16
5,1.61,612.07,567,1,16
6,1.1,544.13,618,1,14
7,1.12,505.06,523,1,12
8,0.95,394.98,1110,1,12
9,1.5,522.53,66,1,6
10,0.22,207.69,26,1,0
11,0.5,350,120,0,0
12,0.9,540,225,1,0
13,1.21,519.14,3930,1,16
14,0.8,201,21,1,1
15,1.5,710,677,1,16
17,1.12,505.06,523,1,12
18,0.85,369.16,56,1,10
19,0.85,429.45,285,1,13
20,1.33,343.85,7,1,3
21,0.9,415.06,204,1,8
22,0.88,372.72,25,1,3
23,0.12,198.5,8,1,0
24,0.91,491,669,1,8
25,0.9,450,630,1,8
26,1.1,580,684,1,12
27,1.56,634,480,1,12
28,1.6,640,591,1,8
29,2.1,710,677,1,16
30,1.4,710,677,1,10
31,1.8,762.12,154,0,18
32,0.85,700.8,369,1,8
33,1.57,728.01,211,1,16
34,1.57,728.01,211,0,16
35,0.85,369.16,56,1,10
36,0.85,429.45,285,1,13
37,0.85,369.16,56,1,10
38,1.57,728.01,221,1,16
39,1.4,580,2000,1,16
40,1.52,590,825,1,16
41,3,1700,50,1,16
42,2.3,1050,120,0,16
43,0.4,200,1000,1,12
44,0.4,200,1000,1,12
45,0.56,213,888,1,8
46,0.5,300,2600,1,8
47,0.5,300,2600,1,12
48,4.6,1200,200,1,20
49,4.6,1200,800,1,20
50,4.6,1200,50,0,14
51,2,980,500,0,20
52,1.07,467,4000,0,16
53,0.64,252,-1,0,22
54,54,12,7,1,21
55,1.09,295.69,864,1,12
56,1.06,467.37,4492,0,16
57,1.27,618.32,193,0,16
58,0.56,356,365,0,15
59,80,90000,10000,0,21
60,1.3,777,-1,1,16
61,1.3,777,-1,1,16
62,1.3,777,-1,1,16
63,1.52,682.4,-1,0,16
64,1.61,712,-1,0,16
65,1.3,777,-1,0,16
66,1.52,682.4,-1,0,16
67,0.8,437,-1,0,22
68,1.12,570,-1,0,22
69,0.98,430,-1,0,12
70,1.12,505.06,523,0,22
71,1.3,777,-1,1,16
72,0.64,220,100,0,8
73,1,12,1,0,20
74,1.1,360,42000,0,13
75,0.6,500,500,0,12
76,1.03,500,700,0,16
77,1.28,600,-1,0,16
78,1.5,500,500,0,16
79,1.02,417,1000,0,12
80,1,450,500,0,16
81,0.56,248.32,-1,0,12
82,1.7,1200,150,1,20
83,1.56,650,1000,0,20
84,2.18,636,1000,1,16
85,1.56,650,1000,1,20
86,2.8,780,5000,1,18
87,1.5,500,6700,0,17
88,1.3,800,-1,0,16
89,2.4,750,370,0,16
90,0.33,151.24,311,0,4
91,0.7,270,1400,1,16
92,1.62,588,-1,0,22
93,1.99,588,-1,0,22
94,0.8,500,80,1,15
95,0.8,500,-1,1,13
96,1.1,300,300,1,16
97,0.75,319,335,0,13
98,0.8,352,465,1,13
99,1,500,6000,1,13
100,1.17,446.2,67,1,10
101,0.96,442.31,480,1,16
102,1.04,445.22,475,1,16
103,0.99,412.95,554,1,12
104,0.82,339.47,3843,1,16
105,1.06,488,253,0,12
106,0.85,428,669,0,13
107,0.8,331,463,1,12
108,0.8,450,200,0,16
109,0.82,424,393,1,15
110,0.84,415,581,1,16
111,1.4,600,100,0,17
112,1.29,553,4300,0,16
113,0.99,381,860,0,12
114,0.8,860,-1,0,16
115,0.91,372,380,0,16
116,2.7,1000,4200,1,20
117,2.62,1200,200,1,19
118,2.6,1200,200,1,19
119,1.5,500,9000,0,16
120,1.22,443,16500,0,19
121,4,1100,5000,0,20
122,1,700,150,0,16
123,1.95,650,130,0,10
124,0.88,450,2000,0,13
125,0.6,768,560,0,12
126,1.52,715,215,0,15
127,2,715,215,0,15
128,1.25,425.73,226,1,12
129,1.2,450.11,520,1,14
130,1.2,450.11,520,1,15
131,0.97,477,280,0,12
132,0.25,800,250,0,8
133,1.6,650,100,0,9
134,1.8,1500,-1,0,17
135,0.88,320,800,0,22
136,1.5,500,1000,0,22
137,0.5,150,800,0,22
138,0.25,210.85,307,1,8
139,81,354,-1,1,11
140,4.7,980,1000,1,21
141,1.5,428,7110,1,16
142,1.5,600,5500,1,16
143,1.17,500,-1,0,13
144,3.89,1000,30000,1,21
145,0.86,500,-1,0,13
146,2.8,700,-1,0,16
147,0.85,269.15,2640,0,12
148,0.85,269.15,2640,0,12
149,10,5000,-1,0,21
150,1.5,500,1000,0,16
151,1.7,500,1000,0,16
152,0.83,269.84,1017,0,9
153,10,1500,30000,0,21
154,0.7,3900,2000,0,21
155,0.7,3900,2000,0,0
156,0.7,14000,2000,0,0
157,20,40,2000,0,0
158,1.6,1200,600,1,20
159,0,200,100,0,5
160,24,500,-1,0,5
161,0.24,500,-1,0,5
162,0.24,500,-1,0,5
163,0.24,500,-1,0,5
164,0.15,500,-1,0,5
165,0.19,118,-1,0,5
166,1.5,500,800,0,16
167,1.5,1000,800,0,16
168,1.5,1000,100,0,16
169,5,1000,100,0,21
170,1.04,321,3066,0,11
171,8,330.09,1470,1,11
172,82,355.97,370,1,4
173,80,330.09,1470,1,11
174,1.06,600,500,1,16
175,1.02,458,129,0,16
176,0.85,500,2060,0,16
177,2.08,606,1200,0,16
178,50,1200,120,0,16
179,1.02,516.32,486,0,16
180,1.03,521,231,0,16
181,2.5,521,231,0,16
182,2.5,1200,231,0,16
183,1.03,521,231,0,16
184,0.45,500,-1,1,9
185,2,746,12900,0,16
186,2,602,11000,0,16
187,0.68,272.7,421,0,0
188,1.3,527,500,0,17
189,1.07,384.64,651,0,22
190,0.4,850,205,0,22
191,0.32,159.15,339,0,22
192,1.08,583,700,0,8
193,20,4000,20000,0,21
194,20,4000,10000,0,21
195,99.99,99999.99,99999999,0,21
196,99.99,99999.99,1,0,21
197,0.97,514.98,247,0,12
198,2.2,634.34,9704,0,20
199,2.2,634.34,9704,1,20
200,2.2,634.34,9704,0,20
201,5.5,1200,1500,1,20
202,1,500,500,0,16
203,3,1000,500,0,19
204,3,700,600,1,21
205,1,500,800,1,21
206,0.68,300,120,1,8
207,0.93,800,4500,1,13
208,1.02,300,4500,0,10
209,0.93,320,-1,0,13
210,1.04,387,448,0,16
211,1.09,385.37,722,0,11
212,10,354,18,1,22
213,1.05,480,1300,0,16
214,1,330,4930,0,16
215,1,330,4930,0,16
216,1.28,384,1150,0,16
217,0.36,169.38,409,0,22
218,1.1,531.1,676,0,16
219,1.02,414.46,614000,0,16
220,0.25,155.43,594,1,8
221,1.18,513,69300,0,8
222,1.18,513,69300,0,16
223,1.18,513,69300,0,0
224,0.44,200,-1,1,22
225,2.01,580,97,1,16
226,1.27,1500,1700,0,13
227,1.6,400,2000,0,16
228,2,1299,84600,0,21
229,1.02,500,-1,0,14
230,0.02,12,100,0,3
231,1.1,400,250,0,12
232,1.67,502,78,0,12
233,1.33,382.54,-1,0,22
234,2.1,1468,600,0,20
235,1.5,500,500,0,20
236,7.52,4056,400,0,21
237,1.18,457.83,1210,1,20
238,1.22,444.05,585,1,20
239,1.22,444.05,228,1,20
240,1.22,200,585,0,20
241,2.5,800,670,1,21
242,6,1200,-1,1,22
243,1.95,555,200000,0,20
244,1.22,444.05,585,1,20
245,1.2,398.5,200,1,16
246,0.5,398.5,200,1,16
247,0.2,158.58,1,0,21
248,0.2,158.58,1568,0,21
249,3,870,6500,1,20
250,1.3,520,12000,1,17
251,0.77,364.99,11900,1,14
252,4.5,900,-1,0,20
253,4.5,900,-1,0,20
254,9,5000,100000,0,21
255,9,5000,100000,0,21
256,1,600,-1,0,13
257,3,1000,1000,0,20
258,51,3420,6321,0,16
259,89,4690,44320,0,21
260,1.8,700,1400,1,21
261,1.7,600,1400,1,21
262,1.9,600,1900,1,21
263,1.23,600,1900,1,21
264,2,745,15000,0,21
265,3,1000,254,0,4
266,4,1487,1478,0,22
267,0.7,230,10000,0,8
268,7,1250,1000,0,20
269,1,330,5000,0,16
270,0.8,600,150,0,12
271,8,2500,15000,1,21
272,1.8,700,22000,1,21
273,8,2500,15000,1,22
274,1.8,700,22000,1,20
275,1.2,700,500,0,16
