id,season_id,rank_id,kill_death_ratio,average_damage,match_counts,is_party,create_date
2,10,16,1.54,720.12,208,1,2021-09-05 07:42:22.927
3,10,16,1.54,720.12,208,1,2021-09-05 07:44:41.960
4,9,16,1.52,682.4,348,1,2021-09-05 07:45:05.160
5,8,16,1.61,612.07,567,1,2021-09-05 07:45:31.170
6,7,14,1.1,544.13,618,1,2021-09-05 07:46:01.643
7,6,12,1.12,505.06,523,1,2021-09-05 07:46:28.223
8,5,12,0.95,394.98,1110,1,2021-09-05 07:47:02.377
9,4,6,1.5,522.53,66,1,2021-09-05 07:47:36.717
10,3,0,0.22,207.69,26,1,2021-09-05 07:48:08.747
11,2,0,0.5,350,120,0,2021-09-05 07:48:33.927
12,1,0,0.9,540,225,1,2021-09-05 07:48:58.737
13,11,16,1.21,519.14,3930,1,2021-09-05 07:49:36.140
14,0,1,0.8,201,21,1,2021-09-05 07:50:13.813
15,12,16,1.5,710,677,1,2021-09-05 07:50:44.677
17,6,12,1.12,505.06,523,1,2021-09-05 07:57:05.750
18,10,10,0.85,369.16,56,1,2021-09-05 08:15:27.670
19,9,13,0.85,429.45,285,1,2021-09-05 08:16:20.207
20,6,3,1.33,343.85,7,1,2021-09-05 08:17:24.203
21,5,8,0.9,415.06,204,1,2021-09-05 08:18:11.937
22,4,3,0.88,372.72,25,1,2021-09-05 08:18:53.860
23,3,0,0.12,198.5,8,1,2021-09-05 08:19:42.587
24,9,8,0.91,491,669,1,2021-09-05 08:26:33.157
25,8,8,0.9,450,630,1,2021-09-05 08:36:59.010
26,7,12,1.1,580,684,1,2021-09-05 08:37:28.860
27,3,12,1.56,634,480,1,2021-09-05 08:37:56.483
28,2,8,1.6,640,591,1,2021-09-05 08:38:39.030
29,1,16,2.1,710,677,1,2021-09-05 08:39:05.670
30,0,10,1.4,710,677,1,2021-09-05 08:39:39.700
31,10,18,1.8,762.12,154,0,2021-09-05 12:32:51.640
32,10,8,0.85,700.8,369,1,2021-09-05 13:56:20.457
33,10,16,1.57,728.01,211,1,2021-09-05 13:57:36.053
34,10,16,1.57,728.01,211,0,2021-09-06 09:36:05.497
35,10,10,0.85,369.16,56,1,2021-09-06 10:02:15.750
36,9,13,0.85,429.45,285,1,2021-09-06 10:09:06.450
37,10,10,0.85,369.16,56,1,2021-09-06 10:25:38.963
38,10,16,1.57,728.01,221,1,2021-09-06 10:27:23.867
39,9,16,1.4,580,2000,1,2021-09-06 11:33:57.760
40,9,16,1.52,590,825,1,2021-09-06 12:58:24.347
41,10,16,3,1700,50,1,2021-09-06 12:59:51.983
42,8,16,2.3,1050,120,0,2021-09-06 13:00:19.240
43,11,12,0.4,200,1000,1,2021-09-06 13:03:30.153
44,10,12,0.4,200,1000,1,2021-09-06 13:04:13.393
45,9,8,0.56,213,888,1,2021-09-06 13:08:32.290
46,10,8,0.5,300,2600,1,2021-09-06 13:24:12.300
47,10,12,0.5,300,2600,1,2021-09-06 13:24:54.160
48,10,20,4.6,1200,200,1,2021-09-06 13:26:53.157
49,7,20,4.6,1200,800,1,2021-09-06 13:27:15.020
50,10,14,4.6,1200,50,0,2021-09-06 13:27:48.577
51,10,20,2,980,500,0,2021-09-06 15:00:42.963
52,11,16,1.07,467,4000,0,2021-09-06 15:46:14.170
53,11,22,0.64,252,-1,0,2021-09-07 12:28:56.300
54,10,21,54,12,7,1,2021-09-08 03:53:07.950
55,10,12,1.09,295.69,864,1,2021-09-08 10:04:03.223
56,11,16,1.06,467.37,4492,0,2021-09-09 04:50:03.273
57,10,16,1.27,618.32,193,0,2021-09-09 05:07:36.023
58,10,15,0.56,356,365,0,2021-09-10 05:45:04.770
59,10,21,80,90000,10000,0,2021-09-12 15:48:54.460
60,11,16,1.3,777,-1,1,2021-09-12 15:59:29.520
61,10,16,1.3,777,-1,1,2021-09-12 16:00:53.960
62,10,16,1.3,777,-1,1,2021-09-12 16:01:34.820
63,9,16,1.52,682.4,-1,0,2021-09-12 16:08:31.670
64,10,16,1.61,712,-1,0,2021-09-12 16:09:36.793
65,10,16,1.3,777,-1,0,2021-09-13 00:39:32.257
66,10,16,1.52,682.4,-1,0,2021-09-13 00:40:14.340
67,12,22,0.8,437,-1,0,2021-09-13 03:38:52.710
68,12,22,1.12,570,-1,0,2021-09-13 03:55:07.773
69,12,12,0.98,430,-1,0,2021-09-13 03:56:12.840
70,12,22,1.12,505.06,523,0,2021-09-13 04:55:09.467
71,10,16,1.3,777,-1,1,2021-09-13 06:08:38.740
72,10,8,0.64,220,100,0,2021-09-13 09:34:03.610
73,9,20,1,12,1,0,2021-09-15 04:14:34.640
74,10,13,1.1,360,42000,0,2021-09-15 10:10:27.740
75,10,12,0.6,500,500,0,2021-09-15 16:12:35.967
76,10,16,1.03,500,700,0,2021-09-15 16:14:14.227
77,10,16,1.28,600,-1,0,2021-09-15 16:18:54.023
78,10,16,1.5,500,500,0,2021-09-15 16:19:41.773
79,11,12,1.02,417,1000,0,2021-09-15 16:20:58.020
80,9,16,1,450,500,0,2021-09-15 16:21:13.633
81,10,12,0.56,248.32,-1,0,2021-09-15 16:22:26.350
82,10,20,1.7,1200,150,1,2021-09-15 16:25:42.977
83,10,20,1.56,650,1000,0,2021-09-15 16:26:03.553
84,11,16,2.18,636,1000,1,2021-09-15 16:26:06.143
85,10,20,1.56,650,1000,1,2021-09-15 16:26:20.187
86,11,18,2.8,780,5000,1,2021-09-15 16:26:53.260
87,11,17,1.5,500,6700,0,2021-09-15 16:27:17.893
88,11,16,1.3,800,-1,0,2021-09-15 16:27:41.650
89,10,16,2.4,750,370,0,2021-09-15 16:27:51.510
90,10,4,0.33,151.24,311,0,2021-09-15 18:18:46.907
91,10,16,0.7,270,1400,1,2021-09-15 23:42:27.910
92,11,22,1.62,588,-1,0,2021-09-16 05:32:44.770
93,11,22,1.99,588,-1,0,2021-09-16 05:34:00.300
94,11,15,0.8,500,80,1,2021-09-16 10:55:10.693
95,10,13,0.8,500,-1,1,2021-09-16 11:08:44.647
96,9,16,1.1,300,300,1,2021-09-16 12:07:26.743
97,9,13,0.75,319,335,0,2021-09-16 12:11:57.640
98,10,13,0.8,352,465,1,2021-09-16 12:12:57.220
99,11,13,1,500,6000,1,2021-09-16 12:44:49.313
100,10,10,1.17,446.2,67,1,2021-09-16 12:52:05.643
101,9,16,0.96,442.31,480,1,2021-09-16 12:52:59.387
102,8,16,1.04,445.22,475,1,2021-09-16 12:54:06.257
103,7,12,0.99,412.95,554,1,2021-09-16 12:54:52.050
104,11,16,0.82,339.47,3843,1,2021-09-16 12:55:43.210
105,10,12,1.06,488,253,0,2021-09-16 13:09:09.733
